タイトル,タイトルリンク,gallery_area,thumb,thumb1,address,fa_address_access_inner,口コミ,btn_map,js_cm_readmore,写真,動画,fa_address_access_inner1,budget,all_count_num,link_arw01,all_count_num1,all_count_num2,詳細タイトル,フィールド1,フィールド2,Unnamed: 21,緯度,経度,住所,ラーメンの種類
一蘭　名古屋栄店,https://www.cookdoor.jp/dtl/60000000000000000810/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/1/8/60000000000000000810/0000069958/60000000000000000810_0000069958_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/1/8/60000000000000000810/0000019198/60000000000000000810_0000019198_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/0/1/8/60000000000000000810/0000069958/60000000000000000810_0000069958_3_s.jpg,〒460-0008 愛知県名古屋市中区栄３－１２－１６,名古屋市営地下鉄名城線「矢場町駅」から「一蘭　名古屋栄店」まで 徒歩6分,254件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e7%9f%a2%e5%a0%b4%e7%94%ba%e9%a7%85+%e3%80%92460-0008&destination=35.1659983777677,136.904217828122&travelmode=walking","一蘭の「名古屋栄店」さんになります。
やはり美味いです。臭みの無い豚骨スープが上品でありいつも完飲しています。完飲しても他のラーメンとは違いトランス脂肪酸がないため体に優しいです。
最近チャーシューが前より厚くなった気がします。
是非ご賞味ください。…",262枚,19本,名古屋高速2号東山線「白川IC」から「一蘭　名古屋栄店」まで 920m,８００円,"5,194件",一蘭 58店舗,"5,593枚",548本,一蘭　名古屋栄店,11：00〜25：00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%A0%84%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%96,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市中区栄３−１２−１６</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市中区栄３−１２−１６</converted>
<candidate>
<address>愛知県/名古屋市/中区/栄/三丁目/１２番/１６号</address>
<longitude>136.904663</longitude>
<latitude>35.166016</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.166016,136.904663, 愛知県名古屋市中区栄３－１２－１６,豚骨ラーメン
丸源ラーメン　名東香流店,https://www.cookdoor.jp/dtl/60000000000000009305/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/3/60000000000000009305/0000000418/60000000000000009305_0000000418_8_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/3/60000000000000009305/0000000418/60000000000000009305_0000000418_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/5/0/3/60000000000000009305/0000058058/60000000000000009305_0000058058_3_s.jpg,〒465-0005 愛知県名古屋市名東区香流3丁目611,名古屋市営地下鉄東山線「上社駅」から「丸源ラーメン　名東香…」まで 徒歩20分,133件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%8a%e7%a4%be%e9%a7%85+%e3%80%92465-0025&destination=35.1867625555092,137.000195290047&travelmode=walking","名古屋市名東区香流の302号の香南交差点近くにあります。駐車場も広く完備されています。
24時まで営業しているので、遅い時間の食事に利用できます。店内も清潔感があり、なんと言ってもラーメンは絶品です。ふっと丸源ラーメンが食べたい時が定期的にあります(笑)

…",258枚,23本,名古屋第二環状自動車道「引山IC」から「丸源ラーメン　名東香…」まで 150m,"昼８００円
夜１３００円","7,263件",丸源ラーメン 161店舗,"15,670枚","1,510本",丸源ラーメン　名東香流店,１１時３０分から２５時まで,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E5%90%8D%E6%9D%B1%E5%8C%BA%E9%A6%99%E6%B5%813%E4%B8%81%E7%9B%AE611,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市名東区香流3丁目611</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市名東区香流3丁目611</converted>
<candidate>
<address>愛知県/名古屋市/名東区/香流/三丁目/６１１番地</address>
<longitude>137.000229</longitude>
<latitude>35.187187</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.187187,137.000229, 愛知県名古屋市名東区香流3丁目611,不明
丸源ラーメン　多賀城店,https://www.cookdoor.jp/dtl/75000000000000023351/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/5/3/75000000000000023351/0000074733/75000000000000023351_0000074733_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/5/3/75000000000000023351/0000004032/75000000000000023351_0000004032_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/5/3/75000000000000023351/0000067236/75000000000000023351_0000067236_3_s.jpg,〒985-0845 宮城県多賀城市町前1丁目3番14号,ＪＲ仙石線「多賀城駅」から「丸源ラーメン　多賀城店」まで 徒歩12分,79件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%a4%9a%e8%b3%80%e5%9f%8e%e9%a7%85+%e3%80%92985-0873&destination=38.2845427341884,140.999237752718&travelmode=walking","久しぶりの利用です。
帰宅途中、ふと肉そばが頭に浮かび、進路変更して立ち寄りました。
夜11時過ぎにも関わらず店内半分の席が埋まるほどの人気ぶり。
丸源さんはどのお店も入店時の掛け声が元気で気持ちいいですね(*^^)v
注文はいつもの辛肉そば。相変わらず速い！
途中、揚げにんにくを加えての味変で楽しんでますｗｗ(#^^#)…",245枚,28本,仙台東部道路「仙台港北IC」から「丸源ラーメン　多賀城店」まで 800m,"昼、〜999
夜、999円〜1,999円","7,263件",丸源ラーメン 161店舗,"15,670枚","1,510本",丸源ラーメン　多賀城店,11:00〜22:00,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E5%A4%9A%E8%B3%80%E5%9F%8E%E5%B8%82%E7%94%BA%E5%89%8D1%E4%B8%81%E7%9B%AE3%E7%95%AA14%E5%8F%B7,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 宮城県多賀城市町前1丁目3番14号</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 宮城県多賀城市町前1丁目3番14号</converted>
<candidate>
<address>宮城県/多賀城市/町前/一丁目/３番/１４号</address>
<longitude>140.999146</longitude>
<latitude>38.284660</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",38.28466,140.999146, 宮城県多賀城市町前1丁目3番14号,不明
豚旨うま屋ラーメン　刈谷店,https://www.cookdoor.jp/dtl/00000000000080137486/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/8/4/00000000000080137486/0000001579/00000000000080137486_0000001579_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/8/4/00000000000080137486/0000030848/00000000000080137486_0000030848_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/6/8/4/00000000000080137486/0000005028/00000000000080137486_0000005028_1_s.jpg,〒448-0047 愛知県刈谷市高津波町１丁目４０４,ＪＲ東海道本線「逢妻駅」から「豚旨うま屋ラーメン　…」まで 徒歩2分,68件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e9%80%a2%e5%a6%bb%e9%a7%85+%e3%80%92448-0831&destination=34.9988111196158,136.99158438195&travelmode=walking","うま屋刈谷店は、愛知県刈谷市に位置する人気のラーメン店で、特に豚骨ラーメンを得意としています。この店舗は、地元住民はもちろん、ラーメン愛好者にも広く愛されており、こだわりのラーメンを提供しています。店舗の住所は、刈谷市高津波町1丁目404番地で、JR「逢妻駅」から徒歩約2分の距離にあります。アクセスも良好で、車での訪問にも便利な立地です。

営業時間は午前11時から翌3時までで、夜遅くまで営業しているため、仕事帰りや夜食にも利用しやすいです。定休日は月曜日となっており、訪れる際にはその点を注意する必要があります。また、駐車場が23台分のスペースを完備しており、車での来店もしやすい環境が整っています。

店内は清潔感があり、カジュアルな雰囲気で、一人でも気軽に訪れることができるとともに、家族連れや友人同士でも楽しめる広さがあります。メニューは豊富で、特に豚骨ラーメンが看板メニューとなっています。ラーメンのスープは濃厚でありながら、後味はさっぱりとしており、細麺との相性が抜群です。さらに、トッピングとしてチャーシューや煮玉子などがあり、好みに合わせてカスタマイズできます。

また、ラーメンだけでなく、名物チャーハンや手作りギョーザも人気です。これらはラーメンと一緒に注文するお客さんが多く、特にギョーザは皮がパリッと香ばしく、具材の旨味がしっかりと感じられると評判です。チャーハンは、パラっとした食感と深い味わいが特徴で、ラーメンとともに楽しむと満足感が高いです。

支払い方法は現金のほか、クレジットカード（VISA、マスターカード）、交通系電子マネー、PayPayなどの各種決済手段にも対応しています。これにより、現金を持ち歩かなくても、便利に支払いを済ませることができるため、便利です。

うま屋刈谷店は、ラーメン好きな人々にとっての隠れた名店と言えるでしょう。地元の常連客はもちろん、遠方から訪れるラーメンファンにも支持されており、刈谷市に訪れた際には一度足を運んでみる価値がある店舗です。特にラーメンのスープの深い味わいと、チャーハンやギョーザの絶妙なバランスが魅力的で、何度でも通いたくなるようなリピーターを生んでいます。

そのため、刈谷周辺で美味しいラーメンを食べたいという場合にうま屋刈谷店はおすすめのスポットです。…",249枚,24本,伊勢湾岸自動車道「豊明IC」から「豚旨うま屋ラーメン　…」まで 4.6km,"〜1,000円",,,,,豚旨うま屋ラーメン　刈谷店,"火〜日
１１：００〜翌３：００",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%88%88%E8%B0%B7%E5%B8%82%E9%AB%98%E6%B4%A5%E6%B3%A2%E7%94%BA%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%94%EF%BC%90%EF%BC%94,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県刈谷市高津波町１丁目４０４</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県刈谷市高津波町１丁目４０４</converted>
<candidate>
<address>愛知県/刈谷市/高津波町/一丁目/４０４番地</address>
<longitude>136.991486</longitude>
<latitude>34.999096</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.999096,136.991486, 愛知県刈谷市高津波町１丁目４０４,豚骨ラーメン
来来亭　春日井店,https://www.cookdoor.jp/dtl/60000000000000002231/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/3/2/60000000000000002231/0000075998/60000000000000002231_0000075998_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/3/2/60000000000000002231/0000060165/60000000000000002231_0000060165_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/1/3/2/60000000000000002231/0000059618/60000000000000002231_0000059618_2_s.jpg,〒486-0916 愛知県春日井市八光町4丁目52番,東海交通事業城北線「勝川駅」から「来来亭　春日井店」まで 徒歩19分,92件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%8b%9d%e5%b7%9d%e9%a7%85+%e3%80%92486-0931&destination=35.2418919821917,136.955096774685&travelmode=walking","来来亭は、日本のラーメンチェーンの一つで、特に関西地方を中心に多くの店舗を展開しています。愛知県にも見かけることが多くなったと思っています。
醤油ラーメンが有名だと思いますが、メニューには塩ラーメンや豚骨ラーメンなど、さまざまな種類のラーメンがあります。各地の店舗でそれぞれの特徴を活かしたメニューも展開しているとのことでした。
また、独自の製法で作られる自家製スープが特徴的です。コク深い味わいがあり、特にガーリックや背脂を加えたバリエーションが人気です。お好みに応じてトッピングやスープの濃さを選べるので、好みに合わせた一杯を楽しむことができます。
最近では店舗で食べるだけでなく、デリバリーサービスの提供もあるみたいなので、ラーメンを自宅で手軽に楽しむことができます。
チェーン店ですが、味がとても美味しく。手頃な価格で本格的なラーメンを味わえる点が魅力に思います。
ラーメン業界の中でも人気が高く、口コミやレビューなどを観てもいい評価のものばかりだと思っています。定期的に新メニューを発表するなど、顧客を飽きさせない工夫も行なっているので、今後もどのようなものが出るのか楽しみです。
時々食べたくなることがあるので忘れられないお店だと思っています。…",256枚,12本,名古屋第二環状自動車道「勝川IC」から「来来亭　春日井店」まで 1.7km,ランチ：880（平均）,"7,568件",来来亭 229店舗,"13,906枚","1,170本",来来亭　春日井店,月・日、祝日、祝前日：11：00〜23：30,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E6%98%A5%E6%97%A5%E4%BA%95%E5%B8%82%E5%85%AB%E5%85%89%E7%94%BA4%E4%B8%81%E7%9B%AE52%E7%95%AA,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県春日井市八光町4丁目52番</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県春日井市八光町4丁目52番</converted>
<candidate>
<address>愛知県/春日井市/八光町/四丁目/５２番地</address>
<longitude>136.955383</longitude>
<latitude>35.241432</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.241432,136.955383, 愛知県春日井市八光町4丁目52番,豚骨ラーメン
丸源ラーメン　新栄店,https://www.cookdoor.jp/dtl/60000000000000007658/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/5/6/60000000000000007658/0000005028/60000000000000007658_0000005028_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/5/6/60000000000000007658/0000002395/60000000000000007658_0000002395_6_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/8/5/6/60000000000000007658/0000002395/60000000000000007658_0000002395_4_s.jpg,〒441-8016 愛知県豊橋市新栄町字南小向83,ＪＲ飯田線「船町駅」から「丸源ラーメン　新栄店」まで 徒歩17分,125件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e8%88%b9%e7%94%ba%e9%a7%85+%e3%80%92440-0071&destination=34.766321117735,137.364837422365&travelmode=walking","丸源ラーメン 豊橋新栄店は、愛知県豊橋市新栄町字南小向83にあるラーメン屋さんです。
最寄り駅はJR飯田線「船町駅」から徒歩約19分
JR飯田線「下地駅」から徒歩約22分
人気の理由はなんと言っても 豊富なメニューのバリエーション｢肉そば」をはじめ、醤油、塩、味噌、とんこつ、担々麺など多彩なラーメンメニューが揃っており、自分好みの一杯を選べます コストパフォーマンスの高さも人気の理由のひとつで、ボリューム満点のラーメンをリーズナブルな価格で提供しており、満足度が高いと評判です、そして、 スピーディーな提供注文から料理の提供までが迅速で、忙しい時間帯でもスムーズに食事ができる点が評価されていますファミリー向けの環境も整っていて、広々とした店内で、家族連れでも利用しやすい雰囲気が魅力です、
私個人としては、お肉のジューシーさがお気に入りのポイントなのと、先日、友達と行き、ご馳走させていただいたのですが、男性二人で満足するまで食べてもお財布に優しい金額で、ホントに助かりました。
それから、ラーメン屋だと、まだまだ現金払いが多いイメージがあるのですが、カード払いや、QRコードでの決済ができ、現金を持ち歩かない自分としてはすごく助かりました、いつも会社に行く途中にあり、気になっていたので、行って大満足です。また、駐車場も広く用意されていて、車椅子用の駐車スペースもあるので、どんな方でもいきやすいかと思います。
次回行ったときには、隣の席の人たちが食べてて美味しそうだった｢辛肉そばつけ麺｣を食べてみたいと思います。基本的に辛いのは少し苦手なのですが、あまりにも美味しそうに食べてるところを見て、どうしても食べたくなってしまったので、また、近々行って、いただこうと思います。今度は一人で行って、複数のラーメンを食べてみるのも良いかなと思うほど美味しかったので、今回食べていないのをもう一つ食べてみようかと思ってます。ごちそうさまでした。
…",248枚,16本,東名高速道路「豊川IC」から「丸源ラーメン　新栄店」まで 8.9km,昼~￥999  夜￥1000~￥1999,"7,263件",丸源ラーメン 161店舗,"15,670枚","1,510本",丸源ラーメン　新栄店,［全日］11:00~24:00（ラストオーダー23:30）,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E8%B1%8A%E6%A9%8B%E5%B8%82%E6%96%B0%E6%A0%84%E7%94%BA%E5%AD%97%E5%8D%97%E5%B0%8F%E5%90%9183,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県豊橋市新栄町字南小向83</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県豊橋市新栄町字南小向83</converted>
<candidate>
<address>愛知県/豊橋市/新栄町/南小向/８３番地</address>
<longitude>137.364944</longitude>
<latitude>34.766327</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.766327,137.364944, 愛知県豊橋市新栄町字南小向83,豚骨ラーメン
鶏そば啜る,https://www.cookdoor.jp/dtl/75000000000000095163/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/1/75000000000000095163/0000000903/75000000000000095163_0000000903_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/1/75000000000000095163/0000000903/75000000000000095163_0000000903_4_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/3/6/1/75000000000000095163/0000000903/75000000000000095163_0000000903_6_s.jpg,〒460-0002 愛知県名古屋市中区丸の内２丁目１５－２８,名古屋市営地下鉄桜通線「丸の内駅」から「鶏そば啜る」まで 徒歩2分,83件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%b8%e3%81%ae%e5%86%85%e9%a7%85+%e3%80%92460-0002&destination=35.1744945852346,136.898149607526&travelmode=walking",お店は地下鉄丸の内駅近く、桑野町通り沿いにあります。店内はカウンター席のみのお店です。事前に食券を購入するシステムです。メニューは鳥そばと鳥中華そばがあります。麺の量、チャーシューの枚数など、お好みで決めれます。今まで2回行きました。2回とも外でお客様が待たれていました。初めて行った時は鳥中華そばを注文しました。はまぐりの出汁とのWスープに惹かれました。注文後、ラーメンが届けられましたが、とても綺麗なラーメンでした。味も良くあっさりしていて、麺もモチモチでとても美味しかったです。スープも全ていただきました。2回目に行った時は鳥そばを注文しました。スープが白くこってりしてるかと思いきや、とても食べやすくて美味しいラーメンでした。こちらもスープまで全ていただきました。ご飯も注文しましたが、とても美味しいご飯でひとめぼれを使用されているようです。どちらのラーメンも看板になる美味しさで、次はどっちを食べようかと今から悩んでしまいます。…,250枚,22本,名古屋高速都心環状線「丸の内出入口（IC）」から「鶏そば啜る」まで 370m,,,,,,鶏そば啜る,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%B8%AD%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%85%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%95%EF%BC%8D%EF%BC%92%EF%BC%98,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県名古屋市中区丸の内２丁目１５−２８</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県名古屋市中区丸の内２丁目１５−２８</converted>
<candidate>
<address>愛知県/名古屋市/中区/丸の/二丁目/１５番/２８号</address>
<longitude>136.898148</longitude>
<latitude>35.174450</latitude>
<iLvl>8</iLvl>
</candidate>
</results>
",35.17445,136.898148, 愛知県名古屋市中区丸の内２丁目１５－２８,塩ラーメン
蔵出し味噌　麺場　田所商店　北名古屋店,https://www.cookdoor.jp/dtl/75000000000000107034/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/3/0/75000000000000107034/0000075338/75000000000000107034_0000075338_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/3/0/75000000000000107034/0000075957/75000000000000107034_0000075957_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/3/0/75000000000000107034/0000075957/75000000000000107034_0000075957_3_s.jpg,〒481-0013 愛知県北名古屋市二子松江７－１,名古屋市営地下鉄鶴舞線「上小田井駅」から「蔵出し味噌　麺場　田…」まで 徒歩16分,45件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e4%b8%8a%e5%b0%8f%e7%94%b0%e4%ba%95%e9%a7%85+%e3%80%92452-0816&destination=35.2336402166199,136.883002308698&travelmode=walking","普段はあっさりしょうゆラーメンを好んで食べており、味噌ラーメンはサッポロ一番以外で食べる機会が少ないのですが、
知人からの紹介で味噌ラーメンがおいしいと有名な田所商店に行ってみました。
まず駐車場がいっぱい。間違いなく人気店。
店内はファミリー向けといいましょうか、だれでも親しみを感じる飲食店という感じでした。
メニューは味噌の種類がいろいろ選べて、北海道、信州、九州の味噌がありました。
メニューをひらいて一番目立っていた北海道味噌を注文しました。
北海道味噌がスタンダードなのかな？
信州は山菜が入っていて、九州は麦味噌を使っているようです。
味噌ラーメン屋さんということで、味噌へのこだわりを強く感じるのですが、それよりも味噌漬け炙りチャーシューに目が行っちゃいます。
ラーメンにのせると値段がドンと上がることは承知の上で注文せざるを得ない、とてつもないビジュアルをしています。
仕方がないので3枚注文しました。
注文したラーメンが届いたときに、チャーシューを追加しておいて良かったとつくづく思いました。
チャーシューの有り無しで迫力が10倍くらい変わってきます。
そして、この炙りチャーシューがとんでもなく美味しかったです。
軽く焦げ目がついていて、香ばしい。
メニューの写真よりも分厚いんじゃないかと思うくらいの重厚感。
味噌の濃さに負けないくらいのしっかりとした味。
いやー素晴らしかった。
でも、チャーシューを3枚のせると、中年には少々厳しいものがありました。
年を重ねるとアブラをあまり多く受けつけないんですよね。
北海道味噌のラーメンにはフライドポテトみたいなのが乗っかっていて、それも美味しかった。
他の味噌も挑戦してみたくなりました。
味噌は発酵食品だから、しょっぱいんだけど体にいいみたいですよ。
そんなことが書いてあったので、スープ全部飲んじゃいました。
普段はあっさりしょうゆラーメンが好みですが、たまには濃厚でコクがある味噌ラーメンもいいですね。
次回食べるときは、チャーシューは1枚にしておきます。…",243枚,26本,名古屋第二環状自動車道「山田西IC」から「蔵出し味噌　麺場　田…」まで 1km,,,,,,蔵出し味噌　麺場　田所商店　北名古屋店,,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%8C%97%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E4%BA%8C%E5%AD%90%E6%9D%BE%E6%B1%9F%EF%BC%97%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県北名古屋市二子松江７−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県北名古屋市二子松江７−</converted>
<candidate>
<address>愛知県/北名古屋市/二子/松江/７番地</address>
<longitude>136.882584</longitude>
<latitude>35.233631</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",35.233631,136.882584, 愛知県北名古屋市二子松江７－１,味噌ラーメン
丸源ラーメン　岡崎鴨田店,https://www.cookdoor.jp/dtl/60000000000000009304/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/0/3/60000000000000009304/0000001064/60000000000000009304_0000001064_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/0/3/60000000000000009304/0000075237/60000000000000009304_0000075237_1_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/0/3/60000000000000009304/0000044046/60000000000000009304_0000044046_1_s.jpg,〒444-2123 愛知県岡崎市鴨田南町1-13,愛知環状鉄道「大門駅」から「丸源ラーメン　岡崎鴨…」まで 徒歩9分,122件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%a4%a7%e9%96%80%e9%a7%85+%e3%80%92444-2134&destination=34.9797278003708,137.161783625782&travelmode=walking",岡崎市鴨田町にある丸源ラーメン岡崎鴨田店に行って来ました。。店舗の駐車場が広く、店内も座席数がたくさんあり、平日でも多くの人で賑わいます。定番の肉そばは、あっさりとした味わいで麺も硬さを選べます。鉄板チャーハンは名物で卵を鉄板の上でチャーハンと混ぜて食べます。香ばしく、卵の甘さもありとても美味しかったです。…,238枚,23本,東名高速道路「岡崎IC」から「丸源ラーメン　岡崎鴨…」まで 5km,"昼800円
夜1200円","7,263件",丸源ラーメン 161店舗,"15,670枚","1,510本",丸源ラーメン　岡崎鴨田店,11時30分から25時,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E6%84%9B%E7%9F%A5%E7%9C%8C%E5%B2%A1%E5%B4%8E%E5%B8%82%E9%B4%A8%E7%94%B0%E5%8D%97%E7%94%BA1-13,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 愛知県岡崎市鴨田南町1-13</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 愛知県岡崎市鴨田南町1-</converted>
<candidate>
<address>愛知県/岡崎市/鴨田南町/１番</address>
<longitude>137.161850</longitude>
<latitude>34.979710</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",34.97971,137.16185, 愛知県岡崎市鴨田南町1-13,塩ラーメン
ラーメン魁力屋　仙台南店,https://www.cookdoor.jp/dtl/1060108334/,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/3/3/1060108334/0000002248/1060108334_0000002248_2_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/3/3/1060108334/0000002248/1060108334_0000002248_8_s.jpg,https://jice.homemate-research.com/pubuser1/pubuser_facility_img/4/3/3/1060108334/0000003434/1060108334_0000003434_8_s.jpg,〒981-1222 宮城県名取市上余田字千刈田２８８－１,ＪＲ東北本線「南仙台駅」から「ラーメン魁力屋　仙台…」まで 徒歩16分,101件,"https://www.google.co.jp/maps/dir/?api=1&origin=%e5%8d%97%e4%bb%99%e5%8f%b0%e9%a7%85+%e3%80%92981-1104&destination=38.1876728692833,140.890873435041&travelmode=walking",ラーメン魁力屋といえばパンチの効いた醤油味のスープと豊富なトッピングを思い浮かべる人がおおいと思いますが私は元々ネギが大好きなので九条ネギトッピングが最高ですね。セットめんも唐揚げとかチャーハンとか美味しいメニューばかりでしかも値段も手頃なので仕事の昼食の時に重宝しています。…,242枚,20本,仙台南部道路「長町IC」から「ラーメン魁力屋　仙台…」まで 3.2km,６５０円〜１０００円,"2,166件",ラーメン魁力屋 85店舗,"4,994枚",432本,ラーメン魁力屋　仙台南店,"無休
１１：００〜２４：００",http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%E5%90%8D%E5%8F%96%E5%B8%82%E4%B8%8A%E4%BD%99%E7%94%B0%E5%AD%97%E5%8D%83%E5%88%88%E7%94%B0%EF%BC%92%EF%BC%98%EF%BC%98%EF%BC%8D%EF%BC%91,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<results>
<query> 宮城県名取市上余田字千刈田２８８−１</query>
<geodetic>wgs1984</geodetic>
<iConf>5</iConf>
<converted> 宮城県名取市上余田字千刈田２８８−</converted>
<candidate>
<address>宮城県/名取市/上余田/千刈田/２８８番地</address>
<longitude>140.890930</longitude>
<latitude>38.187374</latitude>
<iLvl>7</iLvl>
</candidate>
</results>
",38.187374,140.89093, 宮城県名取市上余田字千刈田２８８－１,醤油ラーメン
